, photography, plant, cornflower, overhead view, square, single flower, studio shot, flower head, petal, staman, freshness, no person, black background, centaurea montana, fragility, beauty in nature, close-up, colour image, built structure, outdoor, animal theme, sky, netherland, grass, day, pet, old english sheepdog, one animal, domestic animal, sheepdog, lighthouse, focus on foreground, 
photography, 1.0, 0.0061823802163833074, 0.0, -1.0, 0.004656577415599534, -1.0, -1.0, 0.0, 0.0, -1.0, 0.0073937153419593345, -1.0, -1.0, -1.0, 0.0073937153419593345, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0121580547112462, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 
plant, 0.0, 1.0, 0.011396011396011397, -1.0, 0.005420054200542005, -1.0, -1.0, 0.011396011396011397, 0.012987012987012988, -1.0, 0.008602150537634409, -1.0, -1.0, -1.0, 0.008602150537634409, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.006430868167202572, 0.018018018018018018, 0.7142857142857143, 0.16666666666666666, 0.22857142857142856, 0.05263157894736842, -1.0, 0.22857142857142856, 0.05755395683453238, 0.23809523809523808, -1.0, 
cornflower, 0.0, 0.0, 1.0, -1.0, 0.0, -1.0, -1.0, 0.5, 0.1518987341772152, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.002894356005788712, 0.006932409012131715, 0.011428571428571429, 0.006932409012131715, 0.008620689655172414, 0.0027008777852802163, -1.0, 0.008620689655172414, 0.0029239766081871343, 0.022304832713754646, -1.0, 
overhead view, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
square, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0, -1.0, 0.022304832713754646, -1.0, -1.0, -1.0, 0.022304832713754646, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.010666666666666666, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 
single flower, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
studio shot, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
flower head, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.1518987341772152, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.002894356005788712, 0.006932409012131715, 0.011428571428571429, 0.006932409012131715, 0.008620689655172414, 0.0027008777852802163, -1.0, 0.008620689655172414, 0.0029239766081871343, 0.022304832713754646, -1.0, 
petal, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0032520325203252032, 0.007905138339920948, 0.01327433628318584, 0.007905138339920948, 0.009828009828009828, 0.0030816640986132513, -1.0, 0.009828009828009828, 0.003336113427856547, 0.02586206896551724, -1.0, 
staman, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
freshness, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, -1.0, 0.16, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.016877637130801686, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0, 
